"id";"title";"slug";"price_guide"
362;"Grand";"chrysler-grand";0
363;"GS";"chrysler-gs";0
364;"Howler";"chrysler-howler";0
365;"Imperial";"chrysler-imperial";0
366;"Java";"chrysler-java";0
367;"Laser";"chrysler-laser";0
368;"Lebaron";"chrysler-lebaron";0
369;"LHS";"chrysler-lhs";0
370;"Limousine";"chrysler-limousine";0
371;"Millenium";"chrysler-millenium";0
372;"Neon";"chrysler-neon";0
373;"New";"chrysler-new";0
374;"Newport";"chrysler-newport";0
375;"Pacifica";"chrysler-pacifica";0
376;"Panel";"chrysler-panel";0
377;"Phaeton";"chrysler-phaeton";0
378;"PT";"chrysler-pt";0
379;"Sebring";"chrysler-sebring";0
380;"Sedan";"chrysler-sedan";0
381;"TC";"chrysler-tc";0
382;"Thunderbolt";"chrysler-thunderbolt";0
383;"Town";"chrysler-town";0
384;"Valiant";"chrysler-valiant";0
385;"Viper";"chrysler-viper";0
386;"Voyager";"chrysler-voyager";0
387;"Windsor";"chrysler-windsor";0
388;"2CV";"citroen-2cv";0
389;"Ak";"citroen-ak";0
390;"Ami";"citroen-ami";0
391;"AX";"citroen-ax";0
392;"Axel";"citroen-axel";0
393;"Berlingo";"citroen-berlingo";0
394;"Bijou";"citroen-bijou";0
395;"BX";"citroen-bx";0
396;"C";"citroen-c";0
397;"C1";"citroen-c1";0
398;"C15";"citroen-c15";0
399;"C2";"citroen-c2";0
400;"C3";"citroen-c3";0
401;"C4";"citroen-c4";0
402;"C5";"citroen-c5";0
403;"C6";"citroen-c6";0
404;"C8";"citroen-c8";0
405;"CX";"citroen-cx";0
406;"DS";"citroen-ds";0
407;"Dyane";"citroen-dyane";0
408;"Eco";"citroen-eco";0
409;"Eole";"citroen-eole";0
410;"GS";"citroen-gs";0
411;"GSA";"citroen-gsa";0
412;"ID";"citroen-id";0
413;"Karin";"citroen-karin";0
414;"LN";"citroen-ln";0
415;"LNA";"citroen-lna";0
416;"Mehari";"citroen-mehari";0
417;"Multispace";"citroen-multispace";0
418;"Picasso";"citroen-picasso";0
419;"Pluriel";"citroen-pluriel";0
420;"Saxo";"citroen-saxo";0
421;"SM";"citroen-sm";0
422;"Visa";"citroen-visa";0
423;"Xanae";"citroen-xanae";0
424;"Xantia";"citroen-xantia";0
425;"XM";"citroen-xm";0
426;"Xsara";"citroen-xsara";0
427;"ZX";"citroen-zx";0
428;"Arcadia";"daewoo-arcadia";0
429;"Brougham";"daewoo-brougham";0
430;"Chairman";"daewoo-chairman";0
431;"Espero";"daewoo-espero";0
432;"Evanda";"daewoo-evanda";0
433;"Joyster";"daewoo-joyster";0
434;"Kalos";"daewoo-kalos";0
435;"Korando";"daewoo-korando";0
436;"Lacetti";"daewoo-lacetti";0
437;"Lanos";"daewoo-lanos";0
438;"Leganza";"daewoo-leganza";0
439;"Magnus";"daewoo-magnus";0
